year,rank,team,region,rating
2022,68,TSM,LCS,1437.6
2022,69,Team WE,LPL,1437.4
2022,70,LØS,CBLOL,1408.7
2022,71,Golden Guardians,LCS,1393.0
2022,72,Crest Gaming Act,LJL,1392.0
2022,73,Team BDS,LEC,1389.1
2022,74,AS Esports,VCS,1389.0
2022,75,Burning Core Toyama,LJL,1377.6
2022,76,Genius Esports,VCS,1377.3
2022,77,Dignitas,LCS,1370.9
2022,78,Meta Falcon Team,PCS,1359.1
2022,79,Team Flash,VCS,1353.3
2022,80,Immortals,LCS,1349.0
2022,81,Impunity,PCS,1344.0
2022,82,INTZ,CBLOL,1341.7
2022,83,Rensga eSports,CBLOL,1326.4
2022,84,AXIZ,LJL,1304.5
2022,85,Hurricane Gaming,PCS,1278.3
2022,86,Dewish Team,PCS,1277.7
2022,87,V3 Esports,LJL,1252.9
2022,88,SEM9,PCS,1197.3
2023,1,JD Gaming,LPL,1986.1
2023,2,Gen.G,LCK,1943.7
2023,3,T1,LCK,1904.4
2023,4,KT Rolster,LCK,1882.2
2023,5,Bilibili Gaming,LPL,1857.6
2023,6,LNG Esports,LPL,1841.0
2023,7,G2 Esports,LEC,1779.7
2023,8,Weibo Gaming,LPL,1777.7
2023,9,Dplus Kia,LCK,1764.8
2023,10,PSG Talon,PCS,1764.3
2023,11,Top Esports,LPL,1730.9
2023,12,EDward Gaming,LPL,1710.7
2023,13,Hanwha Life Esports,LCK,1705.3
2023,14,GAM Esports,VCS,1701.8
2023,15,Oh My God,LPL,1700.3
2023,16,Royal Never Give Up,LPL,1682.5
2023,17,LOUD,CBLOL,1673.2
2023,18,Fnatic,LEC,1652.7
2023,19,paiN Gaming,CBLOL,1650.1
2023,20,Cloud9,LCS,1649.7
2023,21,Beyond Gaming,PCS,1631.7
2023,22,DetonatioN FocusMe,LJL,1621.4
2023,23,Liiv SANDBOX,LCK,1616.3
2023,24,Team Whales,VCS,1615.4
2023,25,J Team,PCS,1612.1
2023,26,Team BDS,LEC,1608.4
2023,27,RED Canids,CBLOL,1602.5
2023,28,NRG,LCS,1602.3
2023,29,QT DIG∞,LJL,1591.7
2023,30,Fukuoka SoftBank HAWKS gaming,LJL,1587.4
2023,31,SBTC Esports,VCS,1581.9
2023,32,FunPlus Phoenix,LPL,1579.8
2023,33,Kiwoom DRX,LCK,1574.8
2023,34,Evil Geniuses,LCS,1573.7
2023,35,Saigon Buffalo,VCS,1572.8
2023,36,Golden Guardians,LCS,1566.3
2023,37,CTBC Flying Oyster,PCS,1564.7
2023,38,Invictus Gaming,LPL,1563.4
2023,39,ThunderTalk Gaming,LPL,1556.3
2023,40,Frank Esports,PCS,1554.6
2023,41,CERBERUS Esports,VCS,1544.8
2023,42,DN SOOPers,LCK,1544.6
2023,43,MAD Lions KOI,LEC,1544.3
2023,44,Ninjas in Pyjamas,LPL,1542.2
2023,45,Team WE,LPL,1539.4
2023,46,SK Gaming,LEC,1538.2
2023,47,Team Heretics,LEC,1537.9
2023,48,Excel Esports,LEC,1537.5
2023,49,Team Secret,VCS,1535.4
2023,50,Astralis,LEC,1531.8
2023,51,HANJIN BRION,LCK,1529.0
2023,52,Team Vitality,LEC,1526.9
2023,53,Counter Logic Gaming,LCS,1526.6
2023,54,Deep Cross Gaming,PCS,1523.3
2023,55,Nongshim RedForce,LCK,1521.9
2023,56,KOI,LEC,1520.2
2023,57,Fluxo,CBLOL,1519.0
2023,58,Team Liquid,LCS,1510.9
2023,59,INTZ,CBLOL,1506.3
2023,60,FURIA,CBLOL,1504.6
2023,61,Rare Atom,LPL,1498.5
2023,62,FlyQuest,LCS,1495.3
2023,63,100 Thieves,LCS,1474.4
2023,64,Vivo Keyd Stars,CBLOL,1474.1
2023,65,FENNEL,LJL,1472.3
2023,66,Anyone's Legend,LPL,1467.3
2023,67,LØS,CBLOL,1460.7
2023,68,Rainbow Warriors,VCS,1460.1
2023,69,TSM,LCS,1453.2
2023,70,LGD Gaming,LPL,1445.5
2023,71,Team Flash,VCS,1441.5
2023,72,Ultra Prime,LPL,1438.3
2023,73,Dignitas,LCS,1418.8
2023,74,MGN Blue Esports,VCS,1413.8
2023,75,APOLLO GAMING,VCS,1408.0
2023,76,West Point Esports,PCS,1401.4
2023,77,HELL PIGS,PCS,1399.7
2023,78,Burning Core Toyama,LJL,1399.3
2023,79,Crest Gaming Act,LJL,1388.5
2023,80,Nate9527,PCS,1375.8
2023,81,CYRUS,VCS,1372.6
2023,82,Saigon Dino,VCS,1368.5
2023,83,PSG Talon Academy,PCS,1366.0
2023,84,Immortals,LCS,1366.0
2023,85,AXIZ,LJL,1361.3
2023,86,Original Gaming,VCS,1353.6
2023,87,Impunity,PCS,1349.8
2023,88,WP Gaming,PCS,1343.5
2023,89,Chiefs Esports Club,PCS,1329.2
2023,90,Team Bliss,PCS,1325.5
2023,91,KaBuM! Esports,CBLOL,1324.2
2023,92,Liberty,CBLOL,1315.1
2023,93,SEM9 WPE,PCS,1305.1
2023,94,Dewish Team,PCS,1247.0
2023,95,V3 Esports,LJL,1238.4
2024,1,Gen.G,LCK,2027.7
2024,2,T1,LCK,1944.9
2024,3,Bilibili Gaming,LPL,1931.5
2024,4,Hanwha Life Esports,LCK,1907.0
2024,5,Top Esports,LPL,1892.8
2024,6,LNG Esports,LPL,1838.0
2024,7,JD Gaming,LPL,1810.2
2024,8,G2 Esports,LEC,1797.4
2024,9,Dplus Kia,LCK,1765.2
2024,10,Weibo Gaming,LPL,1765.1
2024,11,KT Rolster,LCK,1726.4
2024,12,Team BDS,LEC,1704.6
2024,13,PSG Talon,PCS,1684.5
2024,14,FlyQuest,LCS,1677.2
2024,15,Fnatic,LEC,1672.0
2024,16,FunPlus Phoenix,LPL,1662.2
2024,17,Team Liquid,LCS,1655.1
2024,18,Vivo Keyd Stars,CBLOL,1652.2
2024,19,GAM Esports,VCS,1649.6
2024,20,DN SOOPers,LCK,1633.7
2024,21,paiN Gaming,CBLOL,1631.9
2024,22,Anyone's Legend,LPL,1624.9
2024,23,Oh My God,LPL,1620.3
2024,24,SK Gaming,LEC,1609.9
2024,25,BNK FEARX,LCK,1609.3
2024,26,RED Canids,CBLOL,1608.9
2024,27,ThunderTalk Gaming,LPL,1607.5
2024,28,Ninjas in Pyjamas,LPL,1605.6
2024,29,Fukuoka SoftBank HAWKS gaming,LJL,1604.9
2024,30,Cloud9,LCS,1596.0
2024,31,DetonatioN FocusMe,LJL,1587.4
2024,32,MGN Vikings Esports,VCS,1574.0
2024,33,Team Secret,VCS,1565.6
2024,34,EDward Gaming,LPL,1565.1
2024,35,Frank Esports,PCS,1564.8
2024,36,CTBC Flying Oyster,PCS,1562.8
2024,37,100 Thieves,LCS,1561.2
2024,38,Nongshim RedForce,LCK,1560.5
2024,39,Invictus Gaming,LPL,1556.3
2024,40,LOUD,CBLOL,1553.7
2024,41,MAD Lions KOI,LEC,1552.3
2024,42,Beyond Gaming,PCS,1542.6
2024,43,Kiwoom DRX,LCK,1536.8
2024,44,Rare Atom,LPL,1535.1
2024,45,Team WE,LPL,1530.7
2024,46,LGD Gaming,LPL,1526.8
2024,47,Team Heretics,LEC,1524.1
2024,48,Team Vitality,LEC,1519.3
2024,49,Deep Cross Gaming,PCS,1511.1
2024,50,Karmine Corp,LEC,1507.4
2024,51,GiantX,LEC,1499.3
2024,52,Royal Never Give Up,LPL,1497.8
2024,53,Team Whales,VCS,1493.2
2024,54,HANJIN BRION,LCK,1479.1
2024,55,FURIA,CBLOL,1476.9
2024,56,Dignitas,LCS,1470.4
2024,57,KaBuM! Esports,CBLOL,1462.1
2024,58,NRG,LCS,1451.4
2024,59,Fluxo,CBLOL,1446.5
2024,60,Rogue,LEC,1434.3
2024,61,CERBERUS Esports,VCS,1426.1
2024,62,Ultra Prime,LPL,1419.6
2024,63,INTZ,CBLOL,1419.4
2024,64,Shopify Rebellion,LCS,1417.1
2024,65,J Team,PCS,1412.2
2024,66,Team Flash,VCS,1410.7
2024,67,MGN Blue Esports,VCS,1409.3
2024,68,QT DIG∞,LJL,1400.5
2024,69,AXIZ CREST,LJL,1382.7
2024,70,Immortals,LCS,1381.0
2024,71,Ground Zero Gaming,PCS,1375.5
2024,72,Team Bliss,PCS,1371.1
2024,73,Liberty,CBLOL,1364.0
2024,74,Antic Esports,PCS,1350.0
2024,75,V3 Esports,LJL,1349.1
2024,76,Rainbow Warriors,VCS,1347.5
2024,77,LØS,CBLOL,1344.3
2024,78,Burning Core Toyama,LJL,1323.7
2024,79,West Point Esports,PCS,1307.2
2024,80,HELL PIGS,PCS,1302.4
2025,1,Gen.G,LCK,2043.1
2025,2,T1,LCK,1960.2
2025,3,Anyone's Legend,LPL,1916.7
2025,4,Hanwha Life Esports,LCK,1911.7
2025,5,Top Esports,LPL,1900.5
2025,6,KT Rolster,LCK,1883.1
2025,7,Bilibili Gaming,LPL,1828.4
2025,8,CTBC Flying Oyster,LCP,1827.2
2025,9,G2 Esports,LEC,1820.5
2025,10,Invictus Gaming,LPL,1795.0
2025,11,FlyQuest,LCS,1769.3
2025,12,Dplus Kia,LCK,1757.5
2025,13,JD Gaming,LPL,1731.8
2025,14,Karmine Corp,LEC,1697.9
2025,15,Movistar KOI,LEC,1678.0
2025,16,Fnatic,LEC,1674.6
2025,17,Weibo Gaming,LPL,1671.2
2025,18,Cloud9,LCS,1661.9
2025,19,MGN Vikings Esports,LCP,1660.5
2025,20,BNK FEARX,LCK,1658.7
2025,21,PSG Talon,LCP,1651.4
2025,22,paiN Gaming,CBLOL,1647.6
2025,23,Ninjas in Pyjamas,LPL,1639.7
2025,24,GAM Esports,LCP,1634.2
2025,25,EDward Gaming,LPL,1630.2
2025,26,100 Thieves,LCS,1625.0
2025,27,Nongshim RedForce,LCK,1622.3
2025,28,Team Secret Whales,LCP,1622.1
2025,29,Vivo Keyd Stars,CBLOL,1612.0
2025,30,Deep Cross Gaming,LCP,1600.9
2025,31,RED Canids,CBLOL,1586.1
2025,32,Team WE,LPL,1582.2
2025,33,Kiwoom DRX,LCK,1577.2
2025,34,Team Liquid,LCS,1573.2
2025,35,GiantX,LEC,1572.2
2025,36,LOUD,CBLOL,1571.9
2025,37,HANJIN BRION,LCK,1567.8
2025,38,FURIA,CBLOL,1567.6
2025,39,Team Vitality,LEC,1562.7
2025,40,Oh My God,LPL,1561.8
2025,41,Team BDS,LEC,1553.9
2025,42,LNG Esports,LPL,1553.8
2025,43,LGD Gaming,LPL,1551.8
2025,44,Shopify Rebellion,LCS,1542.3
2025,45,Fukuoka SoftBank HAWKS gaming,LCP,1540.6
2025,46,Team Heretics,LEC,1534.6
2025,47,QT DIG∞,LCP,1533.9
2025,48,FunPlus Phoenix,LPL,1533.6
2025,49,DetonatioN FocusMe,LCP,1515.2
2025,50,DN SOOPers,LCK,1502.1
2025,51,Inferno Esports,LCP,1497.1
2025,52,ThunderTalk Gaming,LPL,1491.6
2025,53,Saigon Dino,LCP,1490.4
2025,54,SK Gaming,LEC,1487.1
2025,55,Saving OCE,LCP,1485.7
2025,56,Natus Vincere,LEC,1469.5
2025,57,Luminosity Gaming,LCS,1463.5
2025,58,Isurus Estral,CBLOL,1459.8
2025,59,Conviction,LCS,1455.3
2025,60,Estral Esports,LCS,1454.1
2025,61,Disguised,LCS,1453.5
2025,62,LYON,LCS,1451.0
2025,63,Royal Never Give Up,LPL,1448.3
2025,64,Isurus,CBLOL,1443.3
2025,65,Ultra Prime,LPL,1443.2
2025,66,Dignitas,LCS,1437.5
2025,67,SDM Tigres,LCS,1435.9
2025,68,Leviatan,CBLOL,1434.4
2025,69,Rogue,LEC,1432.7
2025,70,Flamengo MDL,CBLOL,1425.1
2025,71,Alpha7 Esports,CBLOL,1412.4
2025,72,Sicar Esports,CBLOL,1407.0
2025,73,Farenvehn,CBLOL,1401.8
2025,74,Chiefs Esports Club,LCP,1378.7
2025,75,Fluxo W7M,CBLOL,1331.5
2026,1,Gen.G,LCK,1943.0
2026,2,T1,LCK,1938.6
2026,3,Bilibili Gaming,LPL,1933.4
2026,4,Hanwha Life Esports,LCK,1932.1
2026,5,G2 Esports,LEC,1822.0
2026,6,Dplus Kia,LCK,1797.6
2026,7,Anyone's Legend,LPL,1785.4
2026,8,KT Rolster,LCK,1775.9
2026,9,Team Secret Whales,LCP,1766.9
2026,10,Top Esports,LPL,1749.1
2026,11,JD Gaming,LPL,1749.0
2026,12,Karmine Corp,LEC,1748.5
2026,13,BNK FEARX,LCK,1698.0
2026,14,Weibo Gaming,LPL,1697.9
2026,15,Movistar KOI,LEC,1696.1
2026,16,Ninjas in Pyjamas,LPL,1676.3
2026,17,GAM Esports,LCP,1670.9
2026,18,LYON,LCS,1651.2
2026,19,Team Vitality,LEC,1650.0
2026,20,Team Liquid,LCS,1647.4
2026,21,HANJIN BRION,LCK,1632.2
2026,22,Kiwoom DRX,LCK,1630.2
2026,23,Nongshim RedForce,LCK,1629.9
2026,24,Cloud9,LCS,1629.2
2026,25,LNG Esports,LPL,1627.0
2026,26,Invictus Gaming,LPL,1625.4
2026,27,EDward Gaming,LPL,1619.5
2026,28,GiantX,LEC,1619.4
2026,29,Natus Vincere,LEC,1602.1
2026,30,Deep Cross Gaming,LCP,1599.5
2026,31,FlyQuest,LCS,1591.1
2026,32,Team WE,LPL,1575.2
2026,33,RED Canids,CBLOL,1574.3
2026,34,Fukuoka SoftBank HAWKS gaming,LCP,1570.1
2026,35,Fnatic,LEC,1568.0
2026,36,FURIA,CBLOL,1566.9
2026,37,LØS,CBLOL,1560.1
2026,38,CTBC Flying Oyster,LCP,1558.2
2026,39,Los Ratones,LEC,1550.2
2026,40,MVK Esports,LCP,1548.7
2026,41,Sentinels,LCS,1534.0
2026,42,LGD Gaming,LPL,1533.2
2026,43,DN SOOPers,LCK,1525.0
2026,44,Oh My God,LPL,1507.1
2026,45,Shifters,LEC,1505.5
2026,46,SK Gaming,LEC,1501.8
2026,47,LOUD,CBLOL,1491.7
2026,48,Team Heretics,LEC,1488.0
2026,49,ThunderTalk Gaming,LPL,1484.5
2026,50,Vivo Keyd Stars,CBLOL,1481.1
2026,51,Ground Zero Gaming,LCP,1477.5
2026,52,Karmine Corp Blue,LEC,1472.4
2026,53,Ultra Prime,LPL,1459.0
2026,54,Disguised,LCS,1452.5
2026,55,Shopify Rebellion,LCS,1441.5
2026,56,paiN Gaming,CBLOL,1432.9
2026,57,Fluxo W7M,CBLOL,1408.2
2026,58,DetonatioN FocusMe,LCP,1405.0
2026,59,Leviatan,CBLOL,1378.7
2026,60,Dignitas,LCS,1359.4
